developer_username,developer_email,developer_name,developer_website,customer_username,customer_email,customer_payment_method,application_title,application_version,application_type,free_contains_ads,paid_price,release_version_tag,release_notes,release_date,downloaded,has_review,review_rating,review_comment,review_date,has_transaction,transaction_id,transaction_amount,transaction_date
dev_101,dev_101@example.com,Studio 101,https://studio-101.dev,customer_147,customer_147@mail.com,GooglePay,App 129,2.4.9,paid_application,False,29.42,v5.2.9,Release notes batch 1,2025-12-03,True,True,5,Review text 1,2026-12-10,False,,,
dev_121,dev_121@example.com,Studio 121,https://studio-121.dev,customer_355,customer_355@mail.com,PayPal,App 177,4.1.2,paid_application,False,28.45,v4.3.4,Release notes batch 2,2024-04-07,False,False,,,,True,TXN-00002,28.45,2026-06-03
dev_133,dev_133@example.com,Studio 133,https://studio-133.dev,customer_420,customer_420@mail.com,Card,App 336,5.4.0,free_application,False,,v6.0.6,Release notes batch 3,2025-12-20,False,False,,,,False,,,
dev_137,dev_137@example.com,Studio 137,https://studio-137.dev,customer_8,customer_8@mail.com,ApplePay,App 30,5.8.0,paid_application,False,27.14,v3.2.0,Release notes batch 4,2025-09-20,True,False,,,,True,TXN-00004,27.14,2024-05-12
dev_132,dev_132@example.com,Studio 132,https://studio-132.dev,customer_139,customer_139@mail.com,ApplePay,App 23,5.6.3,free_application,False,,v3.5.2,Release notes batch 5,2026-10-31,False,True,3,Review text 5,2026-11-21,False,,,
dev_61,dev_61@example.com,Studio 61,https://studio-61.dev,customer_153,customer_153@mail.com,Card,App 259,3.4.9,paid_application,False,3.15,v1.2.8,Release notes batch 6,2026-09-17,False,False,,,,False,,,
dev_84,dev_84@example.com,Studio 84,https://studio-84.dev,customer_218,customer_218@mail.com,Card,App 198,2.4.4,free_application,False,,v3.7.6,Release notes batch 7,2026-03-26,True,False,,,,False,,,
dev_76,dev_76@example.com,Studio 76,https://studio-76.dev,customer_336,customer_336@mail.com,Card,App 132,2.0.6,free_application,True,,v6.6.1,Release notes batch 8,2026-06-27,False,True,2,Review text 8,2024-02-24,False,,,
dev_46,dev_46@example.com,Studio 46,https://studio-46.dev,customer_277,customer_277@mail.com,GooglePay,App 111,5.6.3,paid_application,False,2.24,v6.0.7,Release notes batch 9,2026-06-23,True,True,4,Review text 9,2025-09-25,False,,,
dev_93,dev_93@example.com,Studio 93,https://studio-93.dev,customer_85,customer_85@mail.com,PayPal,App 111,2.2.7,paid_application,False,7.24,v6.9.7,Release notes batch 10,2026-05-22,False,False,,,,True,TXN-00010,7.24,2024-02-03
dev_55,dev_55@example.com,Studio 55,https://studio-55.dev,customer_335,customer_335@mail.com,ApplePay,App 173,4.0.1,paid_application,False,3.26,v2.1.0,Release notes batch 11,2024-01-06,True,False,,,,True,TXN-00011,3.26,2026-04-13
dev_3,dev_3@example.com,Studio 3,https://studio-3.dev,customer_152,customer_152@mail.com,ApplePay,App 31,4.7.0,free_application,True,,v5.2.1,Release notes batch 12,2026-08-13,True,False,,,,False,,,
dev_26,dev_26@example.com,Studio 26,https://studio-26.dev,customer_301,customer_301@mail.com,GooglePay,App 35,2.9.4,free_application,False,,v4.2.4,Release notes batch 13,2026-04-23,False,True,4,Review text 13,2024-03-14,False,,,
dev_48,dev_48@example.com,Studio 48,https://studio-48.dev,customer_569,customer_569@mail.com,ApplePay,App 138,1.2.6,paid_application,False,29.76,v5.9.6,Release notes batch 14,2024-01-07,False,False,,,,True,TXN-00014,29.76,2024-10-29
dev_103,dev_103@example.com,Studio 103,https://studio-103.dev,customer_321,customer_321@mail.com,GooglePay,App 33,5.4.0,paid_application,False,23.71,v3.5.6,Release notes batch 15,2026-03-12,True,True,5,Review text 15,2026-05-18,True,TXN-00015,23.71,2026-09-22
dev_11,dev_11@example.com,Studio 11,https://studio-11.dev,customer_78,customer_78@mail.com,GooglePay,App 287,2.6.1,paid_application,False,6.31,v6.3.5,Release notes batch 16,2025-10-13,True,True,4,Review text 16,2024-06-26,False,,,
